period,sequence,team,player,explanation,scoringplay,score_home,score_visitor
"1","1-18.9","WCAR","Cord Stansberry","Cord Stansberry made pullup jump shot","Y","39","18"
"1","1-1851","WCAR","CJ Hyland","Samuel Dada missed layup","N","36","16"
"1","1-1853","DUKE","Cameron Boozer","Cameron Boozer defensive rebound","N","36","16"
"1","1-1875","DUKE","Cameron Boozer","Cameron Boozer offensive rebound","N","36","16"
"1","1-1877","WCAR","Justin Johnson","Justin Johnson personal three shots","N","36","16"
"1","1-1877","DUKE","Darren Harris","Darren Harris fouled on the play","N","36","16"
"1","1-1878","DUKE","Maliq Brown","Maliq Brown sub out","N","38","16"
"1","1-1878","DUKE","Isaiah Evans","Isaiah Evans sub in","N","38","16"
"1","1-1878","DUKE","Dame Sarr","Dame Sarr sub out","N","38","16"
"1","1-1878","DUKE","Caleb Foster","Caleb Foster sub in","N","39","16"
"1","1-1878","DUKE","Darren Harris","Darren Harris sub out","N","39","16"
"1","1-1878","WCAR","Julien Soumaoro","Julien Soumaoro sub in","N","38","16"
"1","1-1878","WCAR","Justin Johnson","Justin Johnson sub out","N","38","16"
"1","1-1878","DUKE","Patrick Ngongba","Patrick Ngongba sub in","N","38","16"
"1","1-1878","DUKE","Darren Harris","Darren Harris made free throw 1 of 1","Y","37","16"
"1","1-1878","DUKE","Darren Harris","Darren Harris made free throw 2 of 3","Y","38","16"
"1","1-1878","DUKE","Darren Harris","Darren Harris made free throw 3 of 3","Y","39","16"
"1","1-19.5","WCAR","CJ Hyland","30-second timeout","N","41","18"
"1","1-19.8","DUKE","Cameron Boozer","Cameron Boozer missed turnaround jump shot","N","41","18"
"1","1-1949","DUKE","Patrick Ngongba","Patrick Ngongba made layup","Y","41","18"
"1","1-1949","DUKE","Cameron Boozer","Cameron Boozer assist","N","41","18"
"1","1-1967","WCAR","Tahlan Pettway","Tahlan Pettway turnover","N","41","18"
"1","1-1983","WCAR","CJ Hyland","Samuel Dada defensive rebound","N","41","18"
"1","1-2047","WCAR","Marcus Kell","Marcus Kell turnover","N","41","18"
"1","1-2047","DUKE","Cayden Boozer","Cayden Boozer steal","N","41","18"
"1","1-2052","DUKE","Cameron Boozer","Cameron Boozer assist","N","43","18"
"1","1-2052","DUKE","Caleb Foster","Caleb Foster made driving layup","Y|N","43|0","18|0"
"1","1-2060","FAIR","","Game end confirmed","","",""
"1","1-2060","WCAR","Cord Stansberry","Cord Stansberry missed 3-point field goal","N","45","21"
"1","1-2060","WCAR","CJ Hyland","End of period","N","0","0"
"1","1-2060","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","45","21"
"1","1-2062","WCAR","Julien Soumaoro","Julien Soumaoro made 3-point field goal","Y","43","21"
"1","1-2062","WCAR","Tahlan Pettway","Tahlan Pettway assist","N|N","43|43","21|21"
"1","1-2075","DUKE","","30-second timeout","","",""
"1","1-2087","DUKE","Cameron Boozer","Cameron Boozer missed 3-point field goal","N","43","21"
"1","1-2087","DUKE","Caleb Foster","Caleb Foster sub out","N","44","21"
"1","1-2087","DUKE","Darren Harris","Darren Harris sub in","N","44","21"
"1","1-2087","DUKE","Maliq Brown","Maliq Brown sub in","N","44","21"
"1","1-2087","WCAR","Julien Soumaoro","Julien Soumaoro personal two shots","N","43","21"
"1","1-2087","DUKE","Isaiah Evans","Isaiah Evans fouled on the play","N","43","21"
"1","1-2087","DUKE","Cameron Boozer","Cameron Boozer sub out","N","44","21"
"1","1-2087","DUKE","Isaiah Evans","Isaiah Evans made free throw 1 of 2","Y","44","21"
"1","1-2087","DUKE","Isaiah Evans","Isaiah Evans made free throw 1 of 2","Y","45","21"
"1","1-2087","DUKE","Isaiah Evans","Isaiah Evans offensive rebound","N","43","21"
"2","2-0060","DUKE","Cayden Boozer","Cayden Boozer sub out","N","45","21"
"2","2-0060","DUKE","Maliq Brown","Maliq Brown sub out","N","45","21"
"2","2-0060","DUKE","Cameron Boozer","Cameron Boozer sub in","N","45","21"
"2","2-0060","DUKE","Darren Harris","Darren Harris sub out","N","45","21"
"2","2-0060","DUKE","Caleb Foster","Caleb Foster sub in","N","45","21"
"2","2-0060","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","45","21"
"2","2-0060","WCAR","Tahlan Pettway","Tahlan Pettway sub out","N","45","21"
"2","2-0060","WCAR","CJ Hyland","Period start","N","0","0"
"2","2-0060","WCAR","CJ Hyland","Samuel Dada sub out","N","45","21"
"2","2-0060","WCAR","CJ Hyland","CJ Hyland sub in","N","45","21"
"2","2-0060","DUKE","Dame Sarr","Dame Sarr sub in","N","45","21"
"2","2-01.6","WCAR","CJ Hyland","CJ Hyland missed turnaround jump shot","N","45","21"
"2","2-0162","DUKE","Isaiah Evans","Isaiah Evans defensive rebound","N","45","21"
"2","2-0169","DUKE","Caleb Foster","Caleb Foster assist","N","47","21"
"2","2-0169","DUKE","Patrick Ngongba","Patrick Ngongba made layup","Y","47","21"
"2","2-0177","WCAR","CJ Hyland","CJ Hyland sub out","N","47","21"
"2","2-0177","DUKE","Dame Sarr","Dame Sarr fouled on the play","N","47","21"
"2","2-0177","WCAR","Tahlan Pettway","Tahlan Pettway sub in","N","47","21"
"2","2-0177","WCAR","CJ Hyland","CJ Hyland offensive foul","N","47","21"
